id,region,price,year,manufacturer,model,condition,fuel,transmission,drive;,car_age,log_price,year_bin
7311021379,tucson,14900.0,2011,chevrolet,silverado 1500,excellent,gas,automatic,rwd;,13,9.60918360377546,2011-2015
7311021161,tucson,16900.0,2013,ford,f-150,excellent,gas,automatic,4wd;,11,9.735128070758227,2011-2015
7311020925,tucson,13900.0,2014,ford,f-150,excellent,gas,automatic,rwd;,10,9.539716058977092,2011-2015
7311020713,tucson,13900.0,2013,nissan,frontier,excellent,gas,automatic,4wd;,11,9.539716058977092,2011-2015
7311015521,tucson,22990.0,2012,rover,range sport hse,good,gas,other,4wd;,12,10.042858113983936,2011-2015
7311015355,tucson,28590.0,2019,subaru,crosstrek 2.0i limited,good,gas,other,;,5,10.260847261969445,2016-2020
7311015270,tucson,22590.0,2018,subaru,crosstrek 2.0i premium,good,gas,other,;,6,10.025306875857222,2016-2020
7311015387,tucson,15990.0,2011,bmw,1 series 128i convertible 2d,good,gas,other,rwd;,13,9.679781342959442,2011-2015
7311007350,tucson,5650.0,2005,gmc,yukon denali,like new,gas,automatic,rwd;,19,8.639587799629844,2001-2010
7311004260,tucson,15995.0,2013,ford,econoline cargo van,excellent,gas,automatic,rwd;,11,9.680093969966709,2011-2015
7311004052,tucson,24995.0,2015,chevrolet,silverado 2500hd,excellent,gas,automatic,rwd;,9,10.126471091048971,2011-2015
7311003832,tucson,15995.0,2017,ram,promaster city cargo van,excellent,gas,automatic,fwd;,7,9.680093969966709,2016-2020
7311003571,tucson,21995.0,2018,ford,transit connect van,excellent,gas,automatic,fwd;,6,9.998615897627705,2016-2020
7311003292,tucson,13995.0,2012,ford,super duty f-250 srw,excellent,gas,automatic,rwd;,12,9.54652685348758,2011-2015
7311002018,tucson,24500.0,2010,ford,f-250,good,diesel,automatic,4wd;,14,10.106469212026385,2001-2010
7310998023,tucson,20990.0,2016,ford,focus st hatchback 4d,good,gas,other,fwd;,8,9.951849053414007,2016-2020
7310992513,tucson,26250.0,2007,ford,f-250,excellent,diesel,automatic,4wd;,17,10.17545936253226,2001-2010
7310992153,tucson,27590.0,2018,mercedes-benz,cla 250 coupe 4d,good,gas,other,fwd;,6,10.225244911570808,2016-2020
7310991827,tucson,16990.0,2015,lexus,ct 200h hatchback 4d,good,gas,other,fwd;,9,9.740439071085758,2011-2015
7310991832,tucson,35990.0,2018,nissan,titan crew cab sv pickup,good,gas,other,4wd;,6,10.491024186183038,2016-2020
7310989319,tucson,10900.0,2007,toyota,rav4,excellent,gas,automatic,4wd;,17,9.296609807128359,2001-2010
7310989174,tucson,14900.0,2017,fiat,500x,excellent,gas,automatic,4wd;,7,9.60918360377546,2016-2020
7310988983,tucson,14900.0,2013,mercedes-benz,e-class,excellent,gas,automatic,rwd;,11,9.60918360377546,2011-2015
7310988810,tucson,10900.0,2015,kia,soul,excellent,gas,automatic,fwd;,9,9.296609807128359,2011-2015
7310988642,tucson,8900.0,2013,hyundai,elantra,excellent,gas,automatic,fwd;,11,9.093918908958932,2011-2015
7310988491,tucson,17900.0,2014,honda,pilot,excellent,gas,automatic,fwd;,10,9.792611856190192,2011-2015
7310988327,tucson,16900.0,2017,dodge,journey,excellent,gas,automatic,fwd;,7,9.735128070758227,2016-2020
7310988172,tucson,12900.0,2008,bmw,z4,excellent,gas,automatic,rwd;,16,9.465060106725137,2001-2010
7310988058,tucson,19900.0,2013,bmw,5 series,excellent,gas,automatic,rwd;,11,9.898525260706313,2011-2015
7310987826,tucson,9900.0,2011,volkswagen,golf,excellent,diesel,automatic,fwd;,13,9.200391041122515,2011-2015
7310987637,tucson,5900.0,2007,saturn,vue,excellent,gas,automatic,4wd;,17,8.682877107057168,2001-2010
7310987495,tucson,8900.0,2007,lincoln,town car,excellent,gas,automatic,rwd;,17,9.093918908958932,2001-2010
7310987324,tucson,17900.0,2014,ford,expedition,excellent,gas,automatic,4wd;,10,9.792611856190192,2011-2015
7310987134,tucson,29900.0,2009,mercedes-benz,cls,excellent,gas,automatic,rwd;,15,10.305647203635566,2001-2010
7310986899,tucson,42900.0,2015,cadillac,escalade,excellent,gas,automatic,4wd;,9,10.666650414667744,2011-2015
7310986733,tucson,23900.0,2008,lexus,gx 470,excellent,gas,automatic,4wd;,16,10.081675578048475,2001-2010
7310986582,tucson,37900.0,2017,ford,focus,excellent,gas,manual,4wd;,7,10.542732775946709,2016-2020
7310986393,tucson,6900.0,2010,hyundai,elantra,excellent,gas,automatic,fwd;,14,8.839421607620602,2001-2010
7310986233,tucson,11900.0,2014,ford,escape,excellent,gas,automatic,fwd;,10,9.38437770918244,2011-2015
7310986059,tucson,15900.0,2014,ford,f-150,excellent,gas,automatic,;,10,9.674137279312397,2011-2015
7310985880,tucson,40790.0,2015,audi,s7,excellent,gas,automatic,4wd;,9,10.616216747823795,2011-2015
7310985688,tucson,6900.0,1999,bmw,3 series,excellent,gas,automatic,rwd;,25,8.839421607620602,<=2000
7310985519,tucson,15900.0,2003,lexus,sc 430,excellent,gas,automatic,rwd;,21,9.674137279312397,2001-2010
7310985328,tucson,15900.0,2016,jeep,cherokee,excellent,gas,automatic,fwd;,8,9.674137279312397,2016-2020
7310975043,tucson,5650.0,2005,toyota,highlander,excellent,gas,automatic,rwd;,19,8.639587799629844,2001-2010
7310974040,tucson,23990.0,2013,nissan,titan crew cab sv pickup,good,other,other,;,11,10.085434038999999,2011-2015
7310973881,tucson,38590.0,2011,mercedes-benz,sl-class sl 550,good,other,other,;,13,10.560774367644997,2011-2015
7310973844,tucson,18990.0,2017,hyundai,tucson se sport utility,good,gas,other,fwd;,7,9.851720461714246,2016-2020
7310968056,tucson,38990.0,2020,dodge,charger r/t sedan 4d,good,other,other,;,4,10.571086129249698,2016-2020
7310965202,tucson,4900.0,2001,hyundai,santa fe,excellent,gas,automatic,;,23,8.497194544909547,2001-2010
7310963558,tucson,7450.0,2011,nissan,maxima 3.5 sv,good,gas,automatic,fwd;,13,8.916103530553727,2011-2015
7310956212,tucson,38990.0,2018,audi,q7 3.0t premium plus sport,good,gas,automatic,;,6,10.571086129249698,2016-2020
7310956107,tucson,17590.0,2013,infiniti,g g37 journey sedan 4d,good,gas,other,rwd;,11,9.775142686598905,2011-2015
7310956228,tucson,21590.0,2018,toyota,c-hr xle sport utility 4d,good,other,other,fwd;,6,9.980031840175913,2016-2020
7310956029,tucson,31590.0,2018,dodge,charger r/t sedan 4d,good,other,other,rwd;,6,10.360627548882315,2016-2020
7310949836,tucson,3995.0,2004,chrysler,town & country minivan,,gas,automatic,;,20,8.293049139768444,2001-2010
7310949493,tucson,9999.0,2016,dodge,charger sxt v6,,gas,automatic,;,8,9.210340371976184,2016-2020
7310946638,tucson,9495.0,2010,honda,accord ex,,gas,automatic,fwd;,14,9.158625936289503,2001-2010
7310939629,tucson,12299.0,2014,toyota,corolla,excellent,gas,automatic,fwd;,10,9.417354541360508,2011-2015
7310939508,tucson,13999.0,2013,honda,odyssey,excellent,gas,automatic,fwd;,11,9.546812608597396,2011-2015
7310935975,tucson,24794.0,2017,nissan,frontier,,gas,automatic,4wd;,7,10.118397298923234,2016-2020
7310934841,tucson,5990.0,2008,chevrolet,impala,,other,automatic,fwd;,16,8.698013622083925,2001-2010
7310932186,tucson,29800.0,2015,toyota,tacoma trd sport,excellent,gas,automatic,4wd;,9,10.30229722897745,2011-2015
7310930064,tucson,10999.0,2004,ford,f150 xlt,excellent,gas,automatic,rwd;,20,9.305650551780507,2001-2010
7310927439,tucson,12999.0,2008,ram,2500,excellent,gas,automatic,4wd;,16,9.472704636443673,2001-2010
7310926653,tucson,8999.0,2014,nissan,maxima,excellent,gas,automatic,fwd;,10,9.104979856318357,2011-2015
7310921279,tucson,22995.0,2012,ram,pickup 2500,,gas,automatic,rwd;,12,10.043075566743182,2011-2015
7310921018,tucson,9500.0,1981,volkswagen,vanagon,good,gas,manual,rwd;,43,9.15915233520675,<=2000
7310919714,tucson,18995.0,2011,chevrolet,tahoe 1500 lt,excellent,gas,automatic,4wd;,13,9.851983709669012,2011-2015
7310919675,tucson,17995.0,2007,toyota,tundra crewmax sr5,excellent,gas,automatic,4wd;,17,9.797904789961063,2001-2010
7310919580,tucson,6595.0,2008,jeep,compass sport,excellent,gas,automatic,4wd;,16,8.794218683679489,2001-2010
7310918127,tucson,21590.0,2018,chevrolet,impala premier sedan,good,other,other,fwd;,6,9.980031840175913,2016-2020
7310917844,tucson,31995.0,2015,ford,f-250 super duty 4x2 2dr re,,gas,automatic,;,9,10.373366173968712,2011-2015
7310911455,tucson,15990.0,2015,volkswagen,golf tdi se hatchback,good,gas,other,fwd;,9,9.679781342959442,2011-2015
7310911464,tucson,15990.0,2013,honda,crosstour ex-l sport,good,gas,other,;,11,9.679781342959442,2011-2015
7310911393,tucson,35990.0,2019,mercedes-benz,glc 300 sport,good,gas,other,rwd;,5,10.491024186183038,2016-2020
7310911298,tucson,27990.0,2018,mercedes-benz,cla 250 coupe 4d,good,gas,other,fwd;,6,10.239638308916676,2016-2020
7310911313,tucson,34590.0,2019,cadillac,xt5 sport utility 4d,good,other,other,fwd;,5,10.451348811602948,2016-2020
7310911685,tucson,18500.0,2013,toyota,highlander,excellent,gas,automatic,4wd;,11,9.825580063659602,2011-2015
7310911201,tucson,17990.0,2011,toyota,venza wagon 4d,good,other,other,;,13,9.79762691183662,2011-2015
7310911467,tucson,16999.0,2017,toyota,avalon,excellent,gas,automatic,fwd;,7,9.740968623038354,2016-2020
7310911244,tucson,17499.0,2017,toyota,camry,excellent,gas,automatic,fwd;,7,9.769956159911606,2016-2020
7310911075,tucson,12500.0,2013,toyota,avalon,excellent,gas,automatic,fwd;,11,9.433563920090563,2011-2015
7310910911,tucson,7999.0,2013,toyota,prius c,excellent,hybrid,automatic,fwd;,11,8.987196820661973,2011-2015
7310909873,tucson,12000.0,2005,ford,f350 crew cab,like new,diesel,automatic,rwd;,19,9.392745258631441,2001-2010
7310904616,tucson,11900.0,2016,kia,forte lx,,gas,automatic,fwd;,8,9.38437770918244,2016-2020
7310904095,tucson,7900.0,2006,jeep,grand cherokee laredo laredo 4dr suv,,gas,automatic,4wd;,18,8.974744612722734,2001-2010
7310904030,tucson,6900.0,2006,toyota,camry le,,gas,automatic,fwd;,18,8.839421607620602,2001-2010
7310903954,tucson,12900.0,2016,hyundai,elantra se,,gas,automatic,fwd;,8,9.465060106725137,2016-2020
7310903819,tucson,12900.0,2017,hyundai,elantra se,,gas,automatic,fwd;,7,9.465060106725137,2016-2020
7310903724,tucson,10900.0,2016,hyundai,elantra se,,gas,automatic,fwd;,8,9.296609807128359,2016-2020
7310897731,tucson,16995.0,2016,dodge,charger se,,gas,automatic,rwd;,8,9.740733301234702,2016-2020
7310897689,tucson,11995.0,2016,hyundai,veloster,,gas,automatic,fwd;,8,9.392328539868899,2016-2020
7310897635,tucson,7995.0,2011,mini,cooper,,gas,automatic,fwd;,13,8.98669669562029,2011-2015
7310897534,tucson,6995.0,2013,ford,focus se,,other,automatic,fwd;,11,8.853093836138493,2011-2015
7310897490,tucson,44995.0,2016,rover,hse awd,,gas,automatic,4wd;,8,10.714328875912717,2016-2020
7310897426,tucson,9995.0,2013,mercedes-benz,c 250 sport,,gas,automatic,rwd;,11,9.209940291954844,2011-2015
7310897370,tucson,7995.0,2015,nissan,versa note sv,,gas,automatic,fwd;,9,8.98669669562029,2011-2015
7310897320,tucson,6995.0,2006,hyundai,tucson limited,,gas,automatic,fwd;,18,8.853093836138493,2001-2010
7310897269,tucson,5995.0,2012,fiat,500 pop,,gas,manual,fwd;,12,8.698847859222488,2011-2015
7310873965,tucson,27995.0,2012,chevrolet,express cargo 2500 3dr,,gas,automatic,;,12,10.23981692180943,2011-2015
7310873289,tucson,8000.0,2014,chevrolet,equinox ls,,gas,automatic,;,10,8.987321812850125,2011-2015
7310872712,tucson,6990.0,2004,lexus,rx 330,excellent,gas,automatic,fwd;,20,8.852378886511985,2001-2010
7310872458,tucson,8990.0,2006,mazda,rx-8,excellent,gas,manual,rwd;,18,9.103979355984773,2001-2010
7310872100,tucson,8490.0,2016,subaru,outback,excellent,gas,automatic,4wd;,8,9.046762057999363,2016-2020
7310871855,tucson,7790.0,2008,toyota,avalon,excellent,gas,automatic,fwd;,16,8.960724500330858,2001-2010
7310871637,tucson,12999.0,2014,dodge,charger,excellent,gas,automatic,rwd;,10,9.472704636443673,2011-2015
7310871586,tucson,7490.0,2011,bmw,3 series,excellent,gas,automatic,rwd;,13,8.921457578947884,2011-2015
7310871558,tucson,42990.0,2014,toyota,fj cruiser,,other,automatic,4wd;,10,10.66874607044333,2011-2015
7310866834,tucson,4500.0,1998,mercedes-benz,benz ml 320,good,gas,automatic,4wd;,26,8.412054873292933,<=2000
7310865974,tucson,18990.0,2020,kia,forte fe sedan 4d,good,gas,other,fwd;,4,9.851720461714246,2016-2020
7310862279,tucson,15595.0,2014,bmw,3 series,,gas,automatic,rwd;,10,9.654769750102489,2011-2015
7310860092,tucson,19990.0,2016,kia,cadenza limited sedan 4d,good,gas,other,fwd;,8,9.903037451255743,2016-2020
7310860015,tucson,15590.0,2012,infiniti,g g37 journey sedan 4d,good,gas,other,rwd;,12,9.654449103676551,2011-2015
7310861387,tucson,5995.0,2013,nissan,leaf,,electric,automatic,fwd;,11,8.698847859222488,2011-2015
7310859978,tucson,28990.0,2018,toyota,highlander le sport,good,gas,other,;,6,10.274740715974103,2016-2020
7310858855,tucson,26995.0,2017,lexus,rx 350,,gas,automatic,fwd;,7,10.203443985863297,2016-2020
7310856097,tucson,29395.0,2016,bmw,x5,,other,automatic,4wd;,8,10.288613889648762,2016-2020
7310853063,tucson,20995.0,2016,buick,enclave,,gas,automatic,fwd;,8,9.95208722237219,2016-2020
7310851590,tucson,21000.0,2002,bmw,m3 convertible,new,gas,other,rwd;,22,9.952325334619427,2001-2010
7310851328,tucson,12575.0,2014,jeep,patriot,,gas,automatic,fwd;,10,9.439545514668987,2011-2015
7310850355,tucson,19952.0,2016,dodge,charger,,gas,automatic,rwd;,8,9.90113478695253,2016-2020
7310847147,tucson,12295.0,2015,chrysler,200,,gas,automatic,fwd;,9,9.417029285218431,2011-2015
7310844243,tucson,5295.0,2003,lexus,rx 300,,gas,automatic,4wd;,21,8.574707097616844,2001-2010
7310842056,tucson,49877.0,2016,ford,super duty f-250 srw,,diesel,automatic,4wd;,8,10.817335302759144,2016-2020
7310836368,tucson,30995.0,2016,ford,f-350 super duty 4x2 2dr re,,gas,automatic,;,8,10.34161344288384,2016-2020
7310836024,tucson,17990.0,2017,honda,accord,,other,automatic,fwd;,7,9.79762691183662,2016-2020
7310829968,tucson,23990.0,2013,lexus,gs 350 sedan 4d,good,gas,other,rwd;,11,10.085434038999999,2011-2015
7310829853,tucson,16590.0,2014,lexus,ct 200h hatchback 4d,good,other,other,;,10,9.716615658643356,2011-2015
7310829921,tucson,36590.0,2020,rover,discovery sport,good,other,other,;,4,10.507557587511348,2016-2020
7310829932,tucson,28590.0,2019,kia,niro ev ex wagon 4d,good,electric,other,fwd;,5,10.260847261969445,2016-2020
7310826864,tucson,5869.0,2006,hyundai,sonata,,gas,automatic,fwd;,18,8.677609912822142,2001-2010
7310824367,tucson,23998.0,2017,bmw,x3,,gas,automatic,4wd;,7,10.085767441795337,2016-2020
7310818720,tucson,35988.0,2017,chevrolet,silverado 1500,,,automatic,4wd;,7,10.49096861519108,2016-2020
7310803516,tucson,8990.0,2013,nissan,altima,,other,automatic,fwd;,11,9.103979355984773,2011-2015
7310802808,tucson,7999.0,2012,mazda,mazda3,excellent,gas,automatic,fwd;,12,8.987196820661973,2011-2015
7310781341,tucson,27590.0,2014,audi,q7 3.0t s line prestige,good,gas,other,;,10,10.225244911570808,2011-2015
7310777773,tucson,46993.0,2020,gmc,sierra 1500,,diesel,automatic,rwd;,4,10.75777521296855,2016-2020
7310774589,tucson,17590.0,2017,volkswagen,tiguan limited 2.0t,good,gas,automatic,fwd;,7,9.775142686598905,2016-2020
7310774545,tucson,16990.0,2015,kia,optima sx sedan 4d,good,other,other,fwd;,9,9.740439071085758,2011-2015
7310774515,tucson,26990.0,2012,mercedes-benz,cls-class cls 550,good,gas,automatic,;,12,10.203258756085228,2011-2015
7310759331,tucson,9345.0,2016,chevrolet,equinox ls,excellent,gas,automatic,fwd;,8,9.142703723260372,2016-2020
7310758600,tucson,14999.0,2015,chrysler,town and country,excellent,gas,automatic,fwd;,9,9.615805480084347,2011-2015
7310741954,tucson,28599.0,2018,honda,cr-v,,gas,automatic,4wd;,6,10.261161996807944,2016-2020
7310732838,tucson,24395.0,2014,audi,q5,,gas,automatic,4wd;,10,10.102174463416347,2011-2015
7310729184,tucson,18999.0,2011,chevrolet,avalanche 4x4,excellent,gas,automatic,4wd;,13,9.852194258148577,2011-2015
7310728457,tucson,4500.0,2007,bmw,328i,fair,gas,automatic,fwd;,17,8.412054873292933,2001-2010
7310722243,tucson,22995.0,2013,chevrolet,silverado 2500hd,excellent,gas,automatic,rwd;,11,10.043075566743182,2011-2015
7310722218,tucson,9995.0,2014,mini,cooper countryman,excellent,gas,automatic,fwd;,10,9.209940291954844,2011-2015
7310722195,tucson,13995.0,2016,nissan,rogue,excellent,gas,automatic,4wd;,8,9.54652685348758,2016-2020
7310722160,tucson,8995.0,2013,mazda,mazda2,excellent,gas,automatic,fwd;,11,9.104535313079205,2011-2015
7310722137,tucson,13995.0,2018,ford,focus,excellent,gas,automatic,fwd;,6,9.54652685348758,2016-2020
7310722112,tucson,8995.0,2009,toyota,prius,excellent,hybrid,automatic,fwd;,15,9.104535313079205,2001-2010
7310722088,tucson,10995.0,2017,nissan,versa,excellent,gas,automatic,fwd;,7,9.305286849285137,2016-2020
7310722049,tucson,9995.0,2014,jeep,patriot,excellent,gas,automatic,fwd;,10,9.209940291954844,2011-2015
7310722022,tucson,9995.0,2016,dodge,dart,excellent,gas,automatic,fwd;,8,9.209940291954844,2016-2020
7310721986,tucson,7995.0,2008,mini,cooper hardtop,excellent,gas,automatic,fwd;,16,8.98669669562029,2001-2010
7310721953,tucson,12995.0,2015,hyundai,sonata,excellent,gas,automatic,fwd;,9,9.472396896788991,2011-2015
7310721932,tucson,8995.0,2016,ford,focus,excellent,gas,automatic,fwd;,8,9.104535313079205,2016-2020
7310721892,tucson,15995.0,2016,ford,fusion,excellent,gas,automatic,fwd;,8,9.680093969966709,2016-2020
7310712788,tucson,6000.0,2017,nissan,versa,excellent,gas,manual,fwd;,7,8.699681400989514,2016-2020
7310705932,tucson,9500.0,2007,ford,f250,good,diesel,automatic,4wd;,17,9.15915233520675,2001-2010
7310696765,tucson,16150.0,2019,mitsubishi,outlander sport es,like new,gas,automatic,;,5,9.689737246238513,2016-2020
7310693492,tucson,67995.0,2017,ford,f-450 super duty lariat,,other,automatic,4wd;,7,11.12720415889866,2016-2020
7310677055,tucson,1750.0,1998,bmw,328i,fair,gas,automatic,rwd;,26,7.467942332285852,<=2000
7310676221,tucson,22889.0,2014,toyota,tacoma double cab,,gas,automatic,4wd;,10,10.038455412946613,2011-2015
7310675341,tucson,10999.0,2012,mini,cooper countryman,excellent,gas,automatic,fwd;,12,9.305650551780507,2011-2015
7310675337,tucson,7499.0,2011,chevrolet,impala,,other,automatic,;,13,8.922658299524402,2011-2015
7310670576,tucson,8000.0,2012,nissan,altima,good,gas,automatic,;,12,8.987321812850125,2011-2015
7310669415,tucson,900.0,1993,chevrolet,silverado 1500,fair,gas,automatic,rwd;,31,6.803505257608338,<=2000
7310665106,tucson,10995.0,2014,jeep,compass sport,,gas,automatic,fwd;,10,9.305286849285137,2011-2015
7310663553,tucson,8995.0,2007,ford,mustang premium v6,,gas,automatic,rwd;,17,9.104535313079205,2001-2010
7310663457,tucson,19499.0,2017,chrysler,pacifica,,gas,automatic,fwd;,7,9.878169744551839,2016-2020
7310662611,tucson,16999.0,2004,ford,f350,excellent,diesel,automatic,rwd;,20,9.740968623038354,2001-2010
7310661807,tucson,15900.0,2009,ram,2500,excellent,gas,automatic,4wd;,15,9.674137279312397,2001-2010
7310661236,tucson,7850.0,2011,bmw,328i,good,gas,automatic,fwd;,13,8.968396191198256,2011-2015
7310658081,tucson,11995.0,2014,chrysler,town & country touring,,other,automatic,fwd;,10,9.392328539868899,2011-2015
7310657985,tucson,8995.0,2008,volvo,xc90 3.2,,gas,automatic,fwd;,16,9.104535313079205,2001-2010
7310657881,tucson,49995.0,2006,porsche,911 carrera,,gas,manual,rwd;,18,10.819698281210112,2001-2010
7310653807,tucson,4500.0,2014,chrysler,200,excellent,gas,automatic,fwd;,10,8.412054873292933,2011-2015
7310652397,tucson,4200.0,2006,chrysler,300,good,gas,automatic,rwd;,18,8.343077871169383,2001-2010
7310651171,tucson,8995.0,2007,acura,mdx 3.7l,,gas,automatic,;,17,9.104535313079205,2001-2010
7310647700,tucson,27999.0,2011,chevrolet,silverado,,gas,automatic,;,13,10.239959789157341,2011-2015
7310647447,tucson,42997.0,2015,toyota,4runner sr5 premium 25k in add ons and modifications * overland 4x4 ready* all keys*remote start* full icon lift set up* full gobi roof rack set up w/ tent* upgraded sound,,gas,automatic,4wd;,9,10.668908881966093,2011-2015
7310640857,tucson,6950.0,2013,buick,regal,excellent,gas,automatic,fwd;,11,8.846640813100485,2011-2015
7310634343,tucson,10999.0,2016,kia,soul,excellent,gas,automatic,fwd;,8,9.305650551780507,2016-2020
7310633397,tucson,5800.0,2011,nissan,rogue,excellent,gas,automatic,fwd;,13,8.665785595466064,2011-2015
7310632128,tucson,6599.0,2010,ford,fusion,,gas,automatic,;,14,8.794824928014517,2001-2010
7310628877,tucson,24995.0,2017,ford,f-150,excellent,gas,automatic,rwd;,7,10.126471091048971,2016-2020
7310628785,tucson,14995.0,2012,chevrolet,express commercial cutaway,excellent,gas,automatic,rwd;,12,9.615538777855802,2011-2015
7310628617,tucson,38995.0,2015,ford,super duty f-250 srw,excellent,gas,automatic,4wd;,9,10.571214355749163,2011-2015
7310628535,tucson,12900.0,2010,ford,f-150,excellent,gas,automatic,rwd;,14,9.465060106725137,2001-2010
7310628520,tucson,6599.0,2010,ford,fusion,,gas,automatic,;,14,8.794824928014517,2001-2010
7310628475,tucson,10995.0,2006,chevrolet,silverado 2500,excellent,gas,automatic,rwd;,18,9.305286849285137,2001-2010
7310628446,tucson,11499.0,2011,acura,rdx,,gas,automatic,fwd;,13,9.350102314351341,2011-2015
7310628443,tucson,11900.0,2008,ford,f-150,excellent,gas,automatic,rwd;,16,9.38437770918244,2001-2010
7310628355,tucson,14995.0,2013,ford,f-150,excellent,gas,automatic,rwd;,11,9.615538777855802,2011-2015
7316776933,yuma,1200.0,2002,ford,explorer,,gas,manual,;,22,7.0909098220799835,2001-2010
7316769857,yuma,1000.0,2002,nissan,sentra,,gas,automatic,;,22,6.90875477931522,2001-2010
7316694539,yuma,10500.0,2008,bmw,335i,good,other,automatic,rwd;,16,9.259225769705994,2001-2010
7316686678,yuma,21440.0,2017,toyota,rav4 le fwd (natl),,,automatic,fwd;,7,9.973060255888088,2016-2020
7316604292,yuma,8000.0,2001,chevrolet,silverado,good,gas,automatic,4wd;,23,8.987321812850125,2001-2010
7316601731,yuma,5000.0,2004,honda,crv ex,excellent,gas,automatic,4wd;,20,8.517393171418904,2001-2010
7316592253,yuma,41995.0,2015,jeep,wrangler unlimited sahara 4dr hardtop,,gas,automatic,4wd;,9,10.645329654634832,2011-2015
7316591614,yuma,42995.0,2015,ford,f-150 lifted lariat supercrew 5.0 v8,,other,automatic,4wd;,9,10.668862367092954,2011-2015
7316590715,yuma,42995.0,2016,ford,f-150 xlt supercrew ecoboost 3.5l premium,,gas,automatic,4wd;,8,10.668862367092954,2016-2020
7316589787,yuma,61995.0,2020,ram,3500,,diesel,automatic,4wd;,4,11.034825145816942,2016-2020
7316589068,yuma,45995.0,2012,ram,3500 laramie drw crew cab cummins,,diesel,automatic,4wd;,12,10.736309715168556,2011-2015
7316492632,yuma,48500.0,2019,ram,1500 4x4,like new,gas,automatic,4wd;,5,10.789339695269716,2016-2020
7316478395,yuma,2250.0,1997,toyota,camry,good,gas,automatic,;,27,7.719129840906732,<=2000
7316450908,yuma,15400.0,2016,dodge,grand caravan,good,gas,manual,;,8,9.642187721358466,2016-2020
7316422163,yuma,5997.0,2009,hyundai,sonata,like new,gas,automatic,fwd;,15,8.699181359308954,2001-2010
7316340124,yuma,3500.0,2001,ford,windstar van,,gas,automatic,;,23,8.160803920954665,2001-2010
7316212268,yuma,10000.0,2011,volkswagen,jetta sportwagen tdi,like new,diesel,automatic,fwd;,13,9.210440366976517,2011-2015
7316166415,yuma,30770.0,2019,toyota,rav4 adventure awd (natl),,,automatic,;,5,10.33432796697552,2016-2020
7315951252,yuma,2000.0,1997,subaru,outback legacy limited,good,gas,automatic,;,27,7.601402334583733,<=2000
7315937275,yuma,1995.0,1998,gmc,savana,fair,gas,automatic,rwd;,26,7.59890045687141,<=2000
7315905271,yuma,6500.0,1986,toyota,pickup,good,gas,manual,4wd;,38,8.77971129020447,<=2000
7315744489,yuma,10499.0,2007,toyota,fj cruiser,good,gas,automatic,4wd;,17,9.259130536145614,2001-2010
7315642599,yuma,29990.0,2006,ram,2500 diesel,excellent,diesel,automatic,4wd;,18,10.30865261563529,2001-2010
7315562208,yuma,3500.0,2001,nissan,sentra,excellent,gas,automatic,fwd;,23,8.160803920954665,2001-2010
7315512804,yuma,64995.0,2017,chevrolet,silverado 2500 ltz lifted duramax 6.6 liter,,other,automatic,4wd;,7,11.082081008522668,2016-2020
7315512703,yuma,40995.0,2018,jeep,wrangler unlimited sport s,,gas,automatic,4wd;,6,10.621229779951454,2016-2020
7315512660,yuma,44995.0,2018,ford,f-150 xlt supercrew eco boost 3.5l,,gas,automatic,4wd;,6,10.714328875912717,2016-2020
7315512612,yuma,65995.0,2018,chevrolet,silverado 2500 ltz lifted crew 4wd,,other,automatic,4wd;,6,11.097349413111335,2016-2020
7315512576,yuma,42995.0,2019,toyota,tacoma lifted trd sport,,gas,automatic,4wd;,5,10.668862367092954,2016-2020
7315512531,yuma,66995.0,2019,chevrolet,silverado 2500 ltz,,other,automatic,4wd;,5,11.112388195098362,2016-2020
7315512436,yuma,63995.0,2020,ford,f-250 superduty lifted stx 8ft 6.7l diesel,,other,automatic,4wd;,4,11.066575860388603,2016-2020
7315508336,yuma,39995.0,2017,jeep,wrangler unlmited sahara,,gas,automatic,4wd;,7,10.59653472809574,2016-2020
7315508305,yuma,54995.0,2017,gmc,sierra 2500 slt,,other,automatic,4wd;,7,10.915015734297125,2016-2020
7315508230,yuma,67995.0,2017,ford,f-450 super duty lariat,,other,automatic,4wd;,7,11.12720415889866,2016-2020
7315508147,yuma,64995.0,2017,ford,f-250 superduty lariat crew 6.7 liter,,other,automatic,4wd;,7,11.082081008522668,2016-2020
7315508054,yuma,43995.0,2017,ford,f-150 platinum,,gas,automatic,4wd;,7,10.691853999677008,2016-2020
7315508011,yuma,62995.0,2017,chevrolet,silverado 3500 high country drw 4wd 6.6l duramax,,other,automatic,4wd;,7,11.05082651129447,2016-2020
7315501927,yuma,4900.0,2002,audi,tt,excellent,gas,manual,;,22,8.497194544909547,2001-2010
7315501843,yuma,49995.0,2015,gmc,sierra 3500 denali,,diesel,automatic,4wd;,9,10.819698281210112,2011-2015
7315501795,yuma,45995.0,2015,ford,f-250 super duty xlt,,other,automatic,4wd;,9,10.736309715168556,2011-2015
7315501736,yuma,49995.0,2015,chevrolet,silverado 2500 ltz,,diesel,automatic,4wd;,9,10.819698281210112,2011-2015
7315501691,yuma,49995.0,2016,ram,2500 tradesman lifted 4wd cummins,,diesel,automatic,4wd;,8,10.819698281210112,2016-2020
7315501643,yuma,58995.0,2016,ram,2500 laramie crewcab 4wd,,diesel,automatic,4wd;,8,10.985224923979393,2016-2020
