id,region,price,year,manufacturer,model,condition,fuel,transmission,drive;,car_age,log_price,year_bin
7307164168,auburn,16590.0,2013,lincoln,mkz sedan 4d,good,gas,other,fwd;,11,9.716615658643356,2011-2015
7307164193,auburn,28990.0,2017,gmc,acadia slt-1 sport utility,good,gas,other,fwd;,7,10.274740715974103,2016-2020
7307142186,auburn,20590.0,2017,lincoln,mkz premiere sedan 4d,good,gas,other,fwd;,7,9.932609366108146,2016-2020
7306701617,auburn,26990.0,2015,lexus,nx 200t sport utility 4d,good,gas,other,fwd;,9,10.203258756085228,2011-2015
7306676175,auburn,26990.0,2016,lexus,nx 200t sport utility 4d,good,gas,other,fwd;,8,10.203258756085228,2016-2020
7306676124,auburn,22590.0,2020,buick,encore gx select sport,good,other,other,;,4,10.025306875857222,2016-2020
7306625443,auburn,35990.0,2018,jaguar,e-pace p250 se sport,good,gas,other,;,6,10.491024186183038,2016-2020
7306407989,auburn,17500.0,2008,toyota,fj cruiser,good,gas,manual,4wd;,16,9.770013301136158,2001-2010
7306259907,auburn,6000.0,2007,mercedes-benz,e320 cdi,good,diesel,automatic,rwd;,17,8.699681400989514,2001-2010
7306238443,auburn,25990.0,2018,volvo,s60 t5 inscription sedan,good,diesel,other,;,6,10.165505603232393,2016-2020
7306178510,auburn,36590.0,2019,volvo,s60 t6 r-design sedan 4d,good,gas,other,;,5,10.507557587511348,2016-2020
7306147932,auburn,35990.0,2019,volvo,s60 t6 r-design sedan 4d,good,other,other,;,5,10.491024186183038,2016-2020
7306095627,auburn,33590.0,2019,volvo,s60 t6 r-design sedan 4d,good,gas,other,;,5,10.422013452928306,2016-2020
7305666455,auburn,38990.0,2020,infiniti,qx60 luxe sport utility,good,gas,other,fwd;,4,10.571086129249698,2016-2020
7305631654,auburn,33990.0,2018,alfa-romeo,romeo stelvio ti sport suv,good,gas,other,;,6,10.43385106267516,2016-2020
7305631581,auburn,27990.0,2017,lincoln,continental select sedan,good,gas,automatic,;,7,10.239638308916676,2016-2020
7305578496,auburn,28590.0,2018,audi,q5 premium sport utility 4d,good,gas,other,;,6,10.260847261969445,2016-2020
7305186870,auburn,18590.0,2018,hyundai,sonata sel sedan 4d,good,gas,other,fwd;,6,9.830432871630217,2016-2020
7305150035,auburn,29990.0,2018,audi,a6 2.0t premium plus sedan,good,other,automatic,;,6,10.30865261563529,2016-2020
7305149985,auburn,39990.0,2020,acura,mdx sh-awd sport utility,good,gas,other,;,4,10.596409707779776,2016-2020
7304785580,auburn,4000.0,2006,jeep,grand cherokee laredo,good,gas,automatic,rwd;,18,8.294299608857235,2001-2010
7304685581,auburn,32990.0,2019,jeep,wrangler sport suv 2d,good,other,other,4wd;,5,10.403990075979044,2016-2020
7304685502,auburn,27590.0,2012,jeep,wrangler unlimited sport,good,gas,other,4wd;,12,10.225244911570808,2011-2015
7304646033,auburn,18590.0,2017,toyota,camry le sedan 4d,good,gas,other,fwd;,7,9.830432871630217,2016-2020
7304645998,auburn,33590.0,2017,ram,1500 crew cab laramie pickup,good,other,other,;,7,10.422013452928306,2016-2020
7304184221,auburn,40990.0,2017,jeep,wrangler unlimited rubicon,good,other,other,4wd;,7,10.621107809394994,2016-2020
7304158673,auburn,33590.0,2017,jeep,wrangler unlimited sport,good,gas,other,4wd;,7,10.422013452928306,2016-2020
7304134738,auburn,31590.0,2017,jeep,wrangler unlimited sport,good,gas,other,4wd;,7,10.360627548882315,2016-2020
7304111898,auburn,30990.0,2017,jeep,wrangler unlimited sport,good,gas,other,4wd;,7,10.341452118734878,2016-2020
7303661415,auburn,14590.0,2012,bmw,1 series 128i coupe 2d,good,other,other,;,12,9.588160179264023,2011-2015
7303661350,auburn,20590.0,2018,chrysler,300 limited sedan 4d,good,gas,other,rwd;,6,9.932609366108146,2016-2020
7303606749,auburn,19990.0,2020,mitsubishi,outlander sport es,good,other,other,;,4,9.903037451255743,2016-2020
7303606702,auburn,10990.0,2013,nissan,sentra s sedan 4d,good,gas,other,fwd;,11,9.3048320350689,2011-2015
7303236380,auburn,26990.0,2018,gmc,acadia sle-2 sport utility,good,gas,other,fwd;,6,10.203258756085228,2016-2020
7303130875,auburn,36590.0,2020,gmc,acadia denali sport utility,good,gas,other,;,4,10.507557587511348,2016-2020
7303065930,auburn,30990.0,2020,gmc,acadia slt sport utility 4d,good,gas,other,;,4,10.341452118734878,2016-2020
7303065864,auburn,24590.0,2018,lincoln,mkz select sedan 4d,good,gas,automatic,fwd;,6,10.11013580132114,2016-2020
7302597055,auburn,23990.0,2015,lexus,nx 200t sport utility 4d,good,other,other,;,9,10.085434038999999,2011-2015
7302537601,auburn,25590.0,2020,buick,encore gx select sport,good,gas,automatic,fwd;,4,10.149996006155071,2016-2020
7302537532,auburn,52990.0,2020,jaguar,e-pace p300 r-dynamic se,good,gas,other,;,4,10.87787736679393,2016-2020
7302327214,auburn,19000.0,2017,subaru,forester,like new,gas,automatic,;,7,9.852246888342531,2016-2020
7302286548,auburn,28000.0,2018,acura,tlx,excellent,gas,automatic,fwd;,6,10.239995502805316,2016-2020
7302108846,auburn,17590.0,2015,volvo,s60 t5 premier sedan 4d,good,gas,automatic,;,9,9.775142686598905,2011-2015
7302062793,auburn,36590.0,2020,volvo,s60 t6 r-design sedan 4d,good,gas,other,;,4,10.507557587511348,2016-2020
7302043460,auburn,35990.0,2020,volvo,s60 t6 inscription sedan,good,other,other,;,4,10.491024186183038,2016-2020
7302000016,auburn,38590.0,2019,volvo,s60 t8 r-design sedan 4d,good,gas,automatic,;,5,10.560774367644997,2016-2020
7301673626,auburn,29590.0,2018,lincoln,continental select sedan,good,other,automatic,;,6,10.295225540024292,2016-2020
7301673609,auburn,32590.0,2018,alfa-romeo,romeo stelvio sport suv 4d,good,other,other,;,6,10.39179145561983,2016-2020
7301647209,auburn,27590.0,2018,infiniti,qx60 3.5 sport utility,good,gas,automatic,;,6,10.225244911570808,2016-2020
7301624602,auburn,38990.0,2020,audi,q5 45 tfsi premium plus,good,gas,other,;,4,10.571086129249698,2016-2020
7316878036,birmingham,21950.0,2012,toyota,tacoma 4x4,excellent,gas,manual,4wd;,12,9.99656797555214,2011-2015
7316874816,birmingham,13950.0,2011,toyota,tacoma,good,gas,automatic,rwd;,13,9.543306469268108,2011-2015
7316872263,birmingham,12950.0,2005,bmw,z4,excellent,gas,automatic,rwd;,19,9.468928284223587,2001-2010
7316871664,birmingham,18950.0,2010,ford,f150 lariat supercrew 4x4,good,gas,automatic,4wd;,14,9.84961197956681,2001-2010
7316871204,birmingham,6995.0,2011,volkswagen,jetta sel,excellent,gas,automatic,fwd;,13,8.853093836138493,2011-2015
7316870942,birmingham,12500.0,2008,ford,ranger xlt,excellent,gas,automatic,rwd;,16,9.433563920090563,2001-2010
7316870516,birmingham,16950.0,2007,toyota,tacoma double cab,good,gas,automatic,rwd;,17,9.738082108118487,2001-2010
7316870143,birmingham,22950.0,2014,ford,f150 supercrew cab xlt,excellent,gas,automatic,4wd;,10,10.041116787524166,2011-2015
7316869910,birmingham,12950.0,2011,honda,crv ex,excellent,gas,automatic,fwd;,13,9.468928284223587,2011-2015
7316869708,birmingham,12950.0,2007,mazda,mx-5 miata touring,excellent,gas,automatic,rwd;,17,9.468928284223587,2001-2010
